name,price,url,image_url,type,size,vivino_score
Villa Molino D.O.C Valpolicella Ripasso Rouge 75cl,9.99,https://www.carrefour.be/fr/villa-molino-d.o.c-valpolicella-ripasso-rouge-75cl/06998522.html,https://cdn.carrefour.eu/420_06998522_main_20230822_01_PM.webp,Red,75cl,3.7
Lambrusco Signoria Dei Duchi Rouge 75cl,2.99,https://www.carrefour.be/fr/lambrusco-signoria-dei-duchi-rouge-75cl/06995514.html,https://cdn.carrefour.eu/420_06995514_M1_20231226.webp,Red,75cl,3.8
Mateus The Original Rosé,3.49,https://www.carrefour.be/fr/mateus-the-original-rose/04009124.html,https://cdn.carrefour.eu/420_04009124_ZST_003_10000000000183381.webp,Rosé,Other,3.7
La Cave d'Augustin Florent Côtes de Bourg Grand vin Bordeaux rouge 3 L,16.99,https://www.carrefour.be/fr/la-cave-daugustin-florent-cotes-de-bourg-grand-vin-bordeaux-rouge-3-l/04939941.html,https://cdn.carrefour.eu/420_04939941_T1.webp,Red,Box,3.3
Sunset Creek Chardonnay Blanc 75cl,4.99,https://www.carrefour.be/fr/sunset-creek-chardonnay-blanc-75cl/04774934.html,https://cdn.carrefour.eu/420_04774934_T1.webp,White,75cl,3.4
Valmeras Chardonnay Blanc 75cl,3.99,https://www.carrefour.be/fr/valmeras-chardonnay-blanc-75cl/06206076.html,https://cdn.carrefour.eu/420_06206076_T1.webp,White,75cl,3.5
La Cave d'Augustin Florent Côtes du Rhône Les pierrasques 3L,15.99,https://www.carrefour.be/fr/la-cave-daugustin-florent-cotes-du-rhone-les-pierrasques-3l/04827876.html,https://cdn.carrefour.eu/420_04827876_T1.webp,Red,Box,3.4
Château de la Roche Touraine Sauvignon Blanc 750 ml,8.29,https://www.carrefour.be/fr/chateau-de-la-roche-touraine-sauvignon-blanc-750-ml/06333496.html,https://cdn.carrefour.eu/420_06333496_T1.webp,White,Other,3.8
Californie Gallo Sauvignon Blanc 75cl,7.99,https://www.carrefour.be/fr/californie-gallo-sauvignon-blanc-75cl/01158870.html,https://cdn.carrefour.eu/420_01158870_T1.webp,White,75cl,3.3
J.P. Chenet Colombard-Sauvignon,17.49,https://www.carrefour.be/fr/j.p.-chenet-colombard-sauvignon/05929299.html,https://cdn.carrefour.eu/420_05929299_T1.webp,White,Other,3.5
La Croix Carillan Bourgogne grand ordinaire 75 cl,4.99,https://www.carrefour.be/fr/la-croix-carillan-bourgogne-grand-ordinaire-75-cl/04939827.html,https://cdn.carrefour.eu/420_04939827_T1.webp,Red,75cl,2.9
Saint Amour La Cave d'Augustin Florent Rouge 75cl,10.79,https://www.carrefour.be/fr/saint-amour-la-cave-daugustin-florent-rouge-75cl/06914657.html,https://cdn.carrefour.eu/420_06914657_M1_20221012.webp,Red,75cl,3.4
Cheverny Cuvée Prestige l'Excellence Val de Loire Blanc 75cl,8.99,https://www.carrefour.be/fr/cheverny-cuvee-prestige-lexcellence-val-de-loire-blanc-75cl/06633931.html,https://cdn.carrefour.eu/420_06633931_M1_20220120.webp,White,75cl,3.5
Santa Rita 120 Reserva Especial Chardonnay Blanc 75cl,6.99,https://www.carrefour.be/fr/santa-rita-120-reserva-especial-chardonnay-blanc-75cl/06479520.html,https://cdn.carrefour.eu/420_06479520_T1.webp,White,75cl,3.4
Santa Rita 120 Reserva Especial Merlot Rouge 75cl,6.99,https://www.carrefour.be/fr/santa-rita-120-reserva-especial-merlot-rouge-75cl/00972305.html,https://cdn.carrefour.eu/420_00972305_T1.webp,Red,75cl,3.3
Bordeaux Haut-Médoc La Cave d'Augustin Florent Rouge 75cl,6.99,https://www.carrefour.be/fr/bordeaux-haut-medoc-la-cave-daugustin-florent-rouge-75cl/05245466.html,https://cdn.carrefour.eu/420_05245466_T1.webp,Red,75cl,3.3
Grand Sud Merlot 1 L,5.99,https://www.carrefour.be/fr/grand-sud-merlot-1-l/05285403.html,https://cdn.carrefour.eu/420_05285403_T1.webp,Red,Other,3.1
La Cave d'Augustin Florent Vin d'Alsace Pinot Noir Rouge 75cl,8.99,https://www.carrefour.be/fr/la-cave-daugustin-florent-vin-dalsace-pinot-noir-rouge-75cl/04939821.html,https://cdn.carrefour.eu/420_04939821_T1.webp,Red,75cl,3.5
Nelson Rabbit Island Sauvignon Blanc 75cl,9.99,https://www.carrefour.be/fr/nelson-rabbit-island-sauvignon-blanc-75cl/05996851.html,https://cdn.carrefour.eu/420_05996851_T01.webp,White,75cl,4.2
St. Sebastian Liebfraumilch Rheinhessen 75cl,3.99,https://www.carrefour.be/fr/st.-sebastian-liebfraumilch-rheinhessen-75cl/00942834.html,https://cdn.carrefour.eu/420_00942834_T1.webp,White,75cl,3.4
Zonin Pinot Grigio delle Venezie 250 ml,2.49,https://www.carrefour.be/fr/zonin-pinot-grigio-delle-venezie-250-ml/05364265.html,https://cdn.carrefour.eu/420_05364265_T1.webp,White,Other,3.7
Grand Sud Chardonnay 1 L,6.99,https://www.carrefour.be/fr/grand-sud-chardonnay-1-l/04584567.html,https://cdn.carrefour.eu/420_04584567_T1.webp,White,Other,4.3
Mateus Blanc 75cl,6.49,https://www.carrefour.be/fr/mateus-blanc-75cl/06024059.html,https://cdn.carrefour.eu/420_06024059_ZST_003_10000000000202230.webp,White,75cl,3.9
La Cave d'Augustin Florent Monbazillac Blanc 75 cl,8.99,https://www.carrefour.be/fr/la-cave-daugustin-florent-monbazillac-blanc-75-cl/04699905.html,https://cdn.carrefour.eu/420_04699905_T1.webp,White,75cl,3.4
Bourgogne Clémence Jacob Chardonnay Blanc 75cl,7.99,https://www.carrefour.be/fr/bourgogne-clemence-jacob-chardonnay-blanc-75cl/07141617.html,https://cdn.carrefour.eu/420_07141617_M1_20241128.webp,White,75cl,3.8
Saumur Grande Réserve 75 cl,5.99,https://www.carrefour.be/fr/saumur-grande-reserve-75-cl/04939945.html,https://cdn.carrefour.eu/420_04939945_T1.webp,White,75cl,3.8
L'Héritage de Carillan Chardonnay Pays d'Oc Blanc 75cl,4.99,https://www.carrefour.be/fr/lheritage-de-carillan-chardonnay-pays-doc-blanc-75cl/04838052.html,https://cdn.carrefour.eu/420_04838052_M1_20250210.webp,White,75cl,3.3
Bordeaux Château Roc de Cazade Rouge 75cl,5.99,https://www.carrefour.be/fr/bordeaux-chateau-roc-de-cazade-rouge-75cl/04325151.html,https://cdn.carrefour.eu/420_04325151_T1.webp,Red,75cl,3.2
Alsace Jean Murbach Pinot Gris Blanc 75cl,8.49,https://www.carrefour.be/fr/alsace-jean-murbach-pinot-gris-blanc-75cl/06210074.html,https://cdn.carrefour.eu/420_06210074.webp,White,75cl,3.7
Abruzzes Ruminat Primitivo Biodynamie Rouge 75cl,8.99,https://www.carrefour.be/fr/abruzzes-ruminat-primitivo-biodynamie-rouge-75cl/06450811.html,https://cdn.carrefour.eu/420_06450811.webp,Red,75cl,4.0
Loire Muscadet Sèvre-et-Maine La Cave d'Augustin Florent 75cl,6.99,https://www.carrefour.be/fr/loire-muscadet-sevre-et-maine-la-cave-daugustin-florent-75cl/04968013.html,https://cdn.carrefour.eu/420_04968013_T1.webp,White,75cl,3.4
Piemont Barbera d'Alba Bosio 75cl,9.99,https://www.carrefour.be/fr/piemont-barbera-dalba-bosio-75cl/06643815.html,https://cdn.carrefour.eu/420_06643815_M1_20210803.webp,Red,75cl,3.7
Blaye Côtes de Bordeaux La Cave d’Augustin Florent Rouge 75cl,6.99,https://www.carrefour.be/fr/blaye-cotes-de-bordeaux-la-cave-daugustin-florent-rouge-75cl/04917056.html,https://cdn.carrefour.eu/420_04917056_M1_20220705.webp,Red,75cl,3.3
Signature de Loire Pouilly-Fumé Blanc 75cl,15.99,https://www.carrefour.be/fr/signature-de-loire-pouilly-fume-blanc-75cl/07094233.html,https://cdn.carrefour.eu/420_07094233_M1_20241114.webp,White,75cl,3.8
"Molise Pinot Grigio Sottariva "" Terre Degli Osci "" Blanc 75cl",5.99,https://www.carrefour.be/fr/molise-pinot-grigio-sottariva-terre-degli-osci-blanc-75cl/06038989.html,https://cdn.carrefour.eu/420_06038989.webp,White,75cl,3.9
Languedoc Cersius Rouge 75cl,6.99,https://www.carrefour.be/fr/languedoc-cersius-rouge-75cl/05285836.html,https://cdn.carrefour.eu/420_05285836_M1_20210817.webp,Red,75cl,3.2
Piccini Toscana Collezione Privata Blanc 75cl,8.99,https://www.carrefour.be/fr/piccini-toscana-collezione-privata-blanc-75cl/07245684.html,https://cdn.carrefour.eu/420_07245684_M1_20250514.webp,White,75cl,3.7
